mda_code,mda_name,mandate_description
215014001,36. COCOA RESEARCH INSTITUTE OF NIGERIA (CRIN),"The Cocoa Research Institute of Nigeria (CRIN) was established on December 1, 1964, in Ibadan, Oyo State, as a successor autonomous research organization to the Nigerian Substation of the defunct West African Cocoa Research Institute (WACRI). The establishment was pursuant to the Nigerian Research Institutes Act No. 33 of 1964. WACRI had been established in 1944 under Nigeria Statute Act No. 6 of 1950 with its headquarters at Tafo, Ghana, to conduct research on disease-free or disease-resistant cocoa production.

By virtue of the Nigerian Research Institutes Act No. 33 of 1964, CRIN's scope was expanded beyond that of WACRI to include research on kola and coffee in addition to cocoa. In 1975, the Agricultural Research Institutes (Establishments, etc.) Act further enlarged CRIN's research activities to include cashew and tea. In 2024, the Agricultural Research Council of Nigeria (ARCN) disclosed the inclusion of Vitex doniana (Black Plum) to CRIN's crops of coverage. Consequently, CRIN today has a mandate to conduct research on six crops—Cocoa, Kola, Coffee, Cashew, Tea, and Black Plum—throughout the country.

CRIN operates under the Federal Ministry of Agriculture and Rural Development as a premier agricultural research institution. Its primary function is to conduct high-quality research and provide facilities for teaching and research with these agricultural products. The Institute maintains six substations located in the six geopolitical zones of Nigeria where mandate crops are cultivated in abundance.

According to the enabling legislation, CRIN's expressed objectives include: improvement of the genetic potential, agronomic and husbandry practices, including processing and storage of mandate crops; identification of the ecology and methods of control of pests and diseases affecting the crops; investigating effective utilization of crops and their by-products, and feasibility of small-scale production of such end-use products; integration of mandate crop cultivation into cropping systems where each crop is grown by farmers; and translation of research results and improved technologies into practice among farmers and manufacturers to improve production and socio-economic life of the people.

CRIN's vision is to be a centre of excellence of international repute in the research and development of its mandate crops. Major achievements include development of high-yielding and disease-resistant cocoa varieties, improved agronomic practices for sustainable farming, pest management solutions, and training of thousands of Nigerian farmers and extension workers in modern agricultural techniques. The Institute maintains skill acquisition sessions and extension workshops for stakeholders in the cocoa planting and processing industry."
344001001,37. CODE OF CONDUCT BUREAU (CCB),"The Code of Conduct Bureau (CCB) is established by Section 153(1) of the 1999 Constitution of the Federal Republic of Nigeria (as amended) as one of fourteen Federal Executive Bodies. The Bureau derives its powers, functions, and composition from Part I of the Fifth Schedule to the Constitution, and the Code of Conduct Bureau and Tribunal Act, Cap C15, Laws of the Federation of Nigeria, 2004.

The Bureau's historical antecedent traces to the recommendations of the Adegoroye Panel Report of 1975, which preceded the creation of the Public Complaints Commission and formed the basis for including the Code of Conduct provisions in the 1979 Constitution. The military administration of Murtala/Obasanjo inaugurated a Board before handing over power in 1979, though it could not make appreciable impact because the National Assembly of the Second Republic failed to pass the enabling law. The Bureau received its legal mandate under the Babangida regime in 1989, and the Code of Conduct provisions have maintained permanence in all subsequent constitutions (1989, 1993, 1995, 1999, and the current 1999 Constitution as amended).

Under Paragraph 3 of Part I of the Fifth Schedule, the Bureau's functions include: receiving declarations by public officers of their assets and liabilities; examining such declarations and ensuring compliance with requirements; retaining custody of all declarations and making them available for inspection by any citizen of Nigeria upon application to the Bureau; receiving complaints about non-compliance or breach of the Code of Conduct and referring cases requiring further investigation to the Code of Conduct Tribunal; and appointing, promoting, dismissing, and exercising disciplinary control over staff of the Bureau.

The Code of Conduct for Public Officers, contained in Part I of the Fifth Schedule, requires public officers to: maintain a high standard of morality and accountability; declare their assets (including those of spouses and unmarried children under 18) immediately after taking office and subsequently at the end of their tenure; not maintain foreign accounts except in the course of duty; not accept gifts or benefits beyond what is appropriate; and not operate any enterprise or business without Bureau approval, among other provisions.

The Bureau is headed by a Chairman and comprises at least nine members, all appointed by the President subject to Senate confirmation. The Chairman and members hold office for five-year terms and may be reappointed for one further term. The Bureau operates as a proactive anti-corruption agency working to prevent corruption through asset declaration monitoring and ensuring ethical conduct in public service."
158001001,38. CODE OF CONDUCT TRIBUNAL (CCT),"The Code of Conduct Tribunal (CCT) is established by Section 153(1) of the 1999 Constitution of the Federal Republic of Nigeria (as amended) as one of the fourteen Federal Executive Bodies. The Tribunal derives its powers, functions, and composition from Part I of the Fifth Schedule to the Constitution and the Code of Conduct Bureau and Tribunal Act, Cap C15, Laws of the Federation of Nigeria, 2004.

The Tribunal serves as the adjudicatory body for matters relating to breaches of the Code of Conduct for Public Officers. It operates as a judicial body with specific jurisdiction to try and punish public officers who contravene the Code of Conduct provisions enshrined in the Constitution.

Under Paragraph 15 of Part I of the Fifth Schedule, the Tribunal consists of a Chairman and two other persons, all appointed by the President on the recommendation of the National Judicial Council. The Chairman must be a person who has held or is qualified to hold office as a Judge of a Superior Court of record in Nigeria. Members hold office for terms of five years and may be reappointed for one further term.

The Tribunal's jurisdiction, as provided in Paragraph 18 of the Fifth Schedule, covers contravention of the provisions of the Code of Conduct by public officers. When the Code of Conduct Bureau receives complaints about non-compliance with or breach of the Code of Conduct and refers matters requiring further investigation, cases established upon investigation are prosecuted before the Tribunal.

Under Paragraph 18(2), where the Tribunal finds a public officer guilty of contravening provisions of the Code, the Tribunal shall impose any of the following punishments: vacation of office or seat; disqualification from holding public office for a period not exceeding ten years; and where the conduct constitutes a criminal offense, the person shall be prosecuted in a court of law. The Tribunal may also order forfeiture to the State of any property acquired through abuse of office.

Appeals from decisions of the Code of Conduct Tribunal lie to the Court of Appeal. The establishment of the Tribunal reflects Nigeria's constitutional commitment to maintaining high ethical standards in public service and provides a specialized forum for addressing breaches of the Code of Conduct by public officers at all levels of government."
116008001,"39. COMMAND AND STAFF COLLEGE, JAJI","The Armed Forces Command and Staff College (AFCSC), Jaji, is a premier military educational institution established to provide advanced military education and training to mid-career officers of the Nigerian Armed Forces and allied nations. Located in Jaji, Kaduna State, the College operates under the Nigerian Defence Academy system and falls within the purview of the Ministry of Defence.

The College was established to bridge the gap between junior officer training and senior command positions by providing comprehensive professional military education that prepares officers for higher command and staff appointments. The institution serves as the apex middle-level military training establishment in Nigeria.

The primary mandate of the Command and Staff College includes: providing advanced military education to selected middle-ranking officers of the Nigerian Army, Navy, and Air Force to prepare them for command and staff duties at tactical, operational, and strategic levels; developing officers' capacity for independent and critical thinking, analysis, and problem-solving in complex military and national security situations; fostering joint operations awareness and inter-service cooperation among officers of the three services; promoting understanding of civil-military relations, defense policy, and national security strategy; and training officers from allied and friendly nations as part of Nigeria's defense diplomacy and regional security cooperation efforts.

The College curriculum encompasses various aspects of military science, including strategy and tactics, military history, leadership and management, defense economics, joint and combined operations, and contemporary security challenges. Courses integrate classroom instruction, syndicate discussions, research projects, and practical exercises.

Students who successfully complete the course are awarded the Passed Staff College (psc) designation, which is a prerequisite for advancement to senior command and staff positions in the Nigerian Armed Forces. The College maintains standards comparable to similar institutions globally and has established linkages with staff colleges in other countries for exchange programs and joint training initiatives.

The establishment reflects Nigeria's commitment to professional military education and the development of a capable officer corps equipped to address contemporary security challenges, support national defense objectives, and contribute to regional and international peace and security operations."
521010001,40. COMMUNITY HEALTH PRACTITIONERS REGISTRATION BOARD OF NIGERIA,"The Community Health Practitioners Registration Board of Nigeria (CHPRBN) was established by the Community Health Practitioners (Registration, etc.) Act, Cap C19, Laws of the Federation of Nigeria, 2004. The Board operates under the supervision of the Federal Ministry of Health as the regulatory body for community health practice in Nigeria.

The primary mandate of CHPRBN is to regulate and control the training and practice of community health practitioners in Nigeria, ensuring that practitioners meet established standards of competence and ethical conduct. Community health practitioners include Community Health Officers (CHOs), Community Health Extension Workers (CHEWs), Junior Community Health Extension Workers (JCHEWs), and Environmental Health Officers.

Under the establishing Act, the Board's functions include: determining the standard of knowledge and skills required for registration as a community health practitioner in Nigeria; maintaining a register of all community health practitioners entitled to practice in Nigeria; regulating and controlling the training of persons in community health practice; approving institutions and programmes for the training of community health practitioners; conducting professional examinations for persons seeking to be registered as community health practitioners; ensuring that practitioners maintain competence through continuing professional development; investigating complaints against registered practitioners and exercising disciplinary control over the profession; and advising the Federal Government on matters relating to community health practice.

The Board maintains various registers including the Register of Community Health Officers, Register of Community Health Extension Workers, Register of Junior Community Health Extension Workers, and Register of Environmental Health Officers. Only persons registered with the Board are entitled to practice community health in Nigeria.

CHPRBN plays a crucial role in Nigeria's primary healthcare delivery system, as community health practitioners constitute the backbone of healthcare services at the grassroots level. The Board ensures that these practitioners are adequately trained, properly registered, and maintain ethical standards in the delivery of healthcare services to communities across Nigeria. The Board also has the power to issue practicing licenses, suspend or remove names from the register for professional misconduct, and prescribe standards for community health practice facilities.

Through its regulatory activities, CHPRBN contributes to the achievement of Universal Health Coverage by ensuring the availability of qualified community health practitioners to provide essential health services at the primary healthcare level, particularly in underserved and rural communities."
521026016,# NIGERIAN FEDERAL AGENCIES MANDATES (1-20),"Established in 2010 when the Federal Government took over the erstwhile Bauchi State Specialist Hospital, Abubakar Tafawa Balewa University Teaching Hospital serves as the teaching hospital affiliated with Abubakar Tafawa Balewa University's College of Medical Sciences. The hospital traces its origins to 1917 when it began as a small clinic managed by the Colonial Administration primarily treating leprosy cases, later becoming a General Hospital in 1966 and upgraded to Specialist Hospital status in 1978 before its conversion to federal teaching hospital status.

The hospital's core mandate encompasses three primary functions: providing tertiary healthcare services and serving as a referral center for complex medical cases across Bauchi State and neighboring regions according to national and international standards; conducting clinical training for medical students, resident doctors, interns, and paramedical staff across multiple specialties and levels; and undertaking medical research spanning basic to advanced investigations aimed at improving healthcare delivery and outcomes.

ATBUTH operates specialized departments including medicine, surgery, pediatrics, obstetrics and gynecology, among others, with particular focus on infectious diseases research. The hospital established a molecular genetics and infectious disease research and diagnostic center in 2020 through collaboration with ATBU College of Medical Sciences, which serves as part of the NCDC-accredited nationwide laboratory network for COVID-19 and Lassa Virus detection with capacity to process 200 samples daily. The facility supports ongoing research collaborations with various Nigerian universities on topics including Raoultella planticola infections in pediatric patients, Aedes mosquito-associated Dangi and Zika viruses, and microbial community diversity studies. As a federal teaching hospital under the Ministry of Health and Social Welfare, ATBUTH plays a vital role in healthcare delivery, medical education, and research advancement in northeastern Nigeria."
517021015,"2. ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI (ATBU)
**MDA Code:** 517021015","The university's mandate focuses on promoting science, technology, and engineering education to contribute to Nigeria's industrial and technological growth. ATBU operates across two main campuses in Bauchi: the Gubi Campus housing most science and technology faculties, and the Yelwa Campus hosting other departments and administrative buildings. The institution currently comprises 18 faculties, 110 academic departments, over 600 professors, approximately 3,000 academic staff, and more than 7,000 non-teaching staff.

Key functions include providing undergraduate and postgraduate education in technology, engineering, sciences, agriculture, management, environmental design, and education; conducting research in sustainable technology, renewable energy, agricultural technologies, water management, and other areas addressing real-world problems particularly in northern Nigeria; offering postgraduate programs with over 400 options reflecting its evolution toward becoming a postgraduate studies-centered university; and providing extension and consultancy services to industries and organizations.

The university established the Directorate of Research, Innovation, and Development to oversee research activities and has secured significant funding from the Tertiary Education Trust Fund (TETFund) to enhance research capabilities. The institution supervises under the Federal Ministry of Education and the National Universities Commission."
517021055,"3. ADEYEMI FEDERAL UNIVERSITY OF EDUCATION, ONDO (AFUED)
**MDA Code:** 517021055","The university's mandate centers on teacher education, training qualified teachers for secondary schools and teacher training colleges, and conducting research on teaching methods at all educational levels. AFUED operates five schools: Arts and Social Sciences, Education, Languages, Sciences, and Vocational and Technical Education, comprising 28 academic departments. The institution offers both degree and NCE (National Certificate in Education) programs, with recent NUC approval for 25 new academic programs starting from the 2023/2024 session.

Core functions include providing undergraduate and postgraduate teacher education programs leading to NCE, B.Ed., and higher degrees; conducting educational research to improve teaching methodologies and curricula; offering professional diploma programs including the Professional Diploma in Education (PDE) in collaboration with the Teachers Registration Council of Nigeria (TRCN); administering the TRCN Professional Qualifying Examination for teaching candidates; operating teaching practice and counseling practicum programs for student teachers; and providing part-time degree programs in partnership with institutions like Obafemi Awolowo University, Ile-Ife, to accommodate working professionals.

The university maintains facilities including modern laboratories, smart classrooms, and a library to support academic programs. AFUED supervises under the Federal Ministry of Education and operates with the motto ""Education for Service."""
125003001,"4. ADMINISTRATIVE STAFF COLLEGE OF NIGERIA (ASCON)
**MDA Code:** 125003001","ASCON's mandate encompasses a tripod of core functions: providing higher management training services for senior executives in both public and private sectors of the Nigerian economy; conducting research into problems of management and administration arising in different spheres of national life; and providing consultancy services to organizations. Additional functions include establishing and maintaining a National Management Development Library and Documentation Centre, publishing research results and journals, organizing study courses, conferences, lectures, and seminars, and developing appropriate facilities for management development.

The college operates from its main campus at Topo-Badagry, Lagos State, with liaison offices in Port Harcourt, Minna, Kano, and Abuja. ASCON serves as Nigeria's premier management development institute, offering training programs across various disciplines including public administration, project management, financial management, information technology, human resource management, and leadership development. Programs target managers, administrators, and personnel from all sectors of the economy including federal and state governments, local governments, parastatals, and private organizations.

The institution is governed by a Board and headed by a Director-General, operating under the Federal Ministry of Budget and Economic Planning (formerly Ministry of Establishments). As of 2024, ASCON celebrated its 50th anniversary, having trained thousands of public servants and private sector managers in management best practices."
116004003,"5. ADMIRALTY UNIVERSITY OF NIGERIA, IBUSA, DELTA STATE (ADUN)
**MDA Code:** 116004003","The university's mandate centers on enhancing human capacity development and contributing to national development with particular emphasis on maritime, logistics, forensic, and cyber security specializations. ADUN's vision is to become internationally recognized as a university with global perspective meeting society's dynamic needs by educating leaders who embrace value creation for humanity's benefit.

Core functions include providing undergraduate and postgraduate education across three faculties: Arts, Management and Social Sciences; Law; and Sciences, with over 18 programs; conducting research and innovation to expand knowledge frontiers in unique specializations including maritime studies, logistics management, forensic sciences, and cyber security; offering modern European and American-inspired curricula with emphasis on skills acquisition, industry readiness, and information technology; maintaining guaranteed academic calendars and small class sizes to ensure quality education; and contributing to socio-economic sustainable development.

The university operates campuses in Ibusa, Delta State (main campus along Asaba-Ogwashi-Uku Expressway) and Sapele. ADUN maintains its motto ""Excellence in Education"" derived from the Nigerian Navy's commitment to excellence and service. The institution operates under a Transitional Governing Council pending formal takeover by the Federal Ministry of Education and status change confirmation by NUC. The university supervises under the Federal Ministry of Defence through Navy Holdings Limited."
123011001,"6. ADVERTISING REGULATORY COUNCIL OF NIGERIA (ARCON)
**MDA Code:** 123011001","ARCON serves as the apex regulatory body for advertising, advertisements, and marketing communications in Nigeria with the mandate to regulate and control all forms of advertising directed at Nigerian audiences regardless of platform or medium. Core functions include regulating and controlling advertising practices across traditional and digital media to ensure compliance with ethical standards and legal requirements; protecting public and consumer interests from misleading, deceptive, or harmful advertising; promoting local content by regulating the use of foreign models, voice-over artists, and production resources in advertisements targeting Nigerian markets; implementing global best practices in advertising regulation and standards; administering mandatory registration and licensing of advertisers, advertising agencies, media operators, and all entities engaged in advertising and marketing communications; operating the Advertising Standards Panel charged with pre-exposure vetting and approval of all advertisements before publication or broadcast; establishing and enforcing the Nigerian Code of Advertising Practice and other subsidiary regulations; maintaining a library and documentation center for advertising resources; providing training and professional development for advertising practitioners; and prosecuting violations through the Advertising Offences Tribunal established under the Act.

ARCON's regulatory authority extends to all advertising activities including digital marketing by bloggers, vloggers, influencers, comedians, skit makers, and other social media content creators. The 2022 Act marked a watershed moment by explicitly bringing digital advertising under regulatory oversight, requiring all marketing communications on social media platforms directed at Nigerian audiences to obtain pre-approval. ARCON operates under the Federal Ministry of Information and National Orientation."
215003001,"7. AGRICULTURAL RESEARCH AND MANAGEMENT TRAINING INSTITUTE (ARMTI) - ILORIN
**MDA Code:** 215003001","The institute's core mandate encompasses three interrelated functions: providing management training services to agricultural and rural development sector personnel at local, state, and federal levels; conducting research into agricultural management problems and needs to develop appropriate interventions for improving managerial practice; and offering consultancy services to agricultural and rural development organizations.

Specific functions include designing and implementing training programs for managers, employees, and students in the agricultural and rural development sector; conducting multi-faceted training through practical, participatory, responsive, and follow-up oriented approaches addressing real-world management challenges; researching agricultural management, rural development, and agribusiness topics to inform policy and practice; providing professional development in areas including agricultural finance, project management, agribusiness management, ICT integration in agriculture, extension services, cooperative management, and farming systems; operating specialized departments including Agricultural Development and Management (ADEM), Rural Development and Agribusiness Management (RDAM), and Administrative Services; maintaining training facilities including demonstration farms, classrooms, residential accommodations, and modern equipment; and disseminating research findings and technological information through publications, seminars, and extension services.

ARMTI collaborates with international organizations and has recently focused on agroecology training programs. The institute operates under the Federal Ministry of Agriculture and Food Security with governance by a Board of Governors and executive leadership by a Director."
215054001,"8. AGRICULTURAL RESEARCH COUNCIL OF NIGERIA (ARCN)
**MDA Code:** 215054001","ARCN's mandate centers on planning, coordinating, supervising, and regulating agricultural research, training, and extension activities in National Agricultural Research Institutes (NARIs), Federal Colleges of Agriculture (FCAs), and related institutions. Core functions include advising the Federal Government on national policies and priorities in agricultural research, training, and extension; preparing periodic master plans for agricultural research, training, and extension with financial requirements for implementation; ensuring approved master plan implementation by appropriate research institutes, universities, and other bodies; supervising and coordinating research, training, and extension activities of institutes under its aegis; preparing annual budgets for agricultural research, training, and extension programs and receiving grants for allocation to institutes; allocating research grants to institutes, universities, and other bodies; promoting collaboration between Nigerian agricultural scientists and international counterparts; establishing and maintaining a National Agricultural Science Library and Documentation Centre; publishing or sponsoring publication of research results in agricultural sciences; and carrying out activities furthering advancement of research, training, and extension in agricultural sciences.

The Council operates through six technical departments (Planning, Research & Statistics; Plant Resources; Livestock; Fisheries & Aquaculture; Agricultural Extension & Socio-Economics; and Knowledge Management & Communications) plus two service departments (Administration and Finance & Accounts). ARCN supervises numerous institutes including commodity research institutes for cereals, root crops, horticultural crops, oil palm, cocoa, rubber, and stored products, among others. Governed by a Board appointed by the President and led by an Executive Secretary, ARCN operates under the Federal Ministry of Agriculture and Food Security."
521026003,"9. AHMADU BELLO UNIVERSITY TEACHING HOSPITAL (ABUTH)
**MDA Code:** 521026003","The hospital's tripartite mandate encompasses clinical service delivery, medical education and training, and medical research. Core functions include providing comprehensive tertiary healthcare services as a referral hospital accepting complex cases from secondary healthcare facilities across northern Nigeria, covering specialties including medicine, surgery, pediatrics, obstetrics and gynecology, oncology, infectious diseases, nephrology and urology, and other specialized medical disciplines; serving as the primary clinical training ground for Ahmadu Bello University medical students, offering practical medical education for undergraduates, residency training for postgraduate medical students pursuing specialist qualifications, internship programs for newly qualified doctors, and training for nurses, pharmacists, laboratory scientists, and other healthcare professionals; conducting medical research including clinical trials, epidemiological studies, and translational research to advance medical knowledge and improve healthcare delivery, with participation in international research networks and hosting of clinical trials for infectious diseases, gynecological conditions, neonatal conditions, and pediatric oncology.

ABUTH has established specialized facilities including a 48-bed COVID-19 center commissioned in 2020 (donated by Nigerian National Petroleum Corporation), urology and kidney treatment facilities established in 2022, an in vitro fertilization (IVF) unit in the Department of Gynecology and Obstetrics which delivered its first IVF baby in May 2023, and various specialized clinics and diagnostic centers. The hospital maintains connections with international research networks and collaborates with organizations on medical research projects. ABUTH operates under the Federal Ministry of Health and Social Welfare."
517021004,"10. AHMADU BELLO UNIVERSITY, ZARIA (ABU)
**MDA Code:** 517021004","The university's mandate focuses on providing comprehensive higher education, conducting research, and contributing to national development with particular emphasis on addressing northern Nigeria's educational needs while serving students from across the federation. Operating from three main campuses—Samaru and Kongo in Zaria, and School of Basic Studies in Funtua—ABU encompasses 18 faculties, 110 academic departments, 17 centers, seven institutes, over 600 professors, approximately 3,000 academic staff, and more than 7,000 non-teaching staff.

Core functions include offering undergraduate, graduate, associate degree, vocational, and remedial programs across diverse disciplines including sciences, social sciences, arts and languages, education, environmental design, engineering, medical sciences, agricultural sciences, law, and administration; conducting research across multiple disciplines with particular strength in agricultural research through facilities like the Institute for Agricultural Research, National Agricultural Extension and Research Liaison Services, and National Animal Production Research Institute; providing postgraduate education with over 400 programs reflecting evolution toward postgraduate studies focus; operating the A.B.U. Teaching Hospital, one of Africa's largest training hospitals; managing affiliated institutions including Federal Colleges of Agriculture at Shika, Mando, and Kabba; providing extension and consultancy services to government, industry, and communities; managing research institutes and specialized centers supporting various academic and research activities; and training teachers through the Faculty of Education which oversees teacher training colleges across northern states.

ABU's motto is ""The first duty of every university is the search for and the spread of knowledge and the establishment of the nation."" The university operates under the Federal Ministry of Education and the National Universities Commission."
116005003,"11. AIR POWER CENTRE OF EXCELLENCE
**MDA Code:** 116005003","The center's mandate encompasses conducting advanced research into air power theory, doctrine, and strategy; providing specialized training for Nigerian Air Force officers in air power concepts, strategic thinking, and operational planning; developing and refining Nigerian Air Force doctrinal publications and operational procedures; analyzing contemporary air operations and emerging technologies to inform force development and modernization; offering professional military education programs covering air power history, theory, and practice; conducting strategic studies on aerospace security, regional security dynamics, and defense policy; serving as a knowledge hub for air power expertise within the Nigerian armed forces; collaborating with international air power institutions and centers of excellence to share best practices and lessons learned; supporting Nigerian Air Force leadership with strategic analysis and policy recommendations; and contributing to joint military doctrine development in coordination with other service arms.

The Air Power Centre of Excellence plays a vital role in ensuring Nigerian Air Force personnel maintain cutting-edge knowledge of air power employment, modern aerial warfare concepts, and strategic air operations. The institution supports the professional development of air force officers while contributing to the broader defense and security intellectual framework. It operates under the Nigerian Air Force within the Ministry of Defence structure."
116005002,"12. AIRFORCE INSTITUTE OF TECHNOLOGY, KADUNA (AFIT)
**MDA Code:** 116005002","The institute's mandate centers on providing technical and professional education to Nigerian Air Force personnel and civilians in fields supporting aerospace operations, defense technology, and national development. Core functions include offering accredited undergraduate degree programs (B.Eng, B.Sc, B.Tech) in engineering disciplines including aeronautical engineering, aircraft engineering, electrical/electronics engineering, mechanical engineering, computer engineering, and related technical fields; providing postgraduate programs (M.Eng, M.Sc, Ph.D.) in specialized areas of aerospace technology, engineering, and applied sciences; conducting applied research in aeronautical engineering, avionics, aircraft maintenance, aerospace systems, and defense-related technologies; offering professional military technical training for air force personnel in aircraft maintenance, avionics, ground support equipment, and related specialties; providing continuing education and professional development programs for serving military personnel and civilian employees; maintaining laboratories, workshops, and training facilities equipped with modern aircraft systems, engines, and technological equipment; collaborating with international aviation and aerospace institutions for knowledge exchange and capacity building; developing technical manuals, training materials, and research publications; and supporting Nigerian Air Force operational readiness through technical training and research activities.

AFIT maintains academic standards through affiliation with the National Universities Commission and operates specialized facilities for practical aerospace and engineering training. The institute contributes to building Nigeria's technical capacity in aviation and aerospace technology while serving military and civilian educational needs. AFIT operates under the Nigerian Air Force within the Ministry of Defence."
233011001,"13. AJAOKUTA STEEL COMPANY LIMITED
**MDA Code:** 233011001","The company's mandate centers on producing iron and steel products to support Nigeria's industrialization and reduce dependence on imported steel. When fully operational, core functions would include mining and processing iron ore from Nigeria's deposits to produce steel billets, bars, rods, sheets, and other steel products; operating an integrated steel mill with blast furnaces, steel-making converters, rolling mills, and ancillary facilities; supplying steel inputs for Nigeria's manufacturing sector including automotive, machinery, equipment, and consumer goods production; providing steel for construction industry needs including structural steel, reinforcement bars, and building materials; supporting infrastructure development through provision of steel for railways, bridges, pipelines, and other major projects; generating employment through steel production operations, maintenance, and related industrial activities; contributing to technology transfer and technical capacity building in metallurgy and steel production; and reducing Nigeria's steel import bill by producing steel domestically.

Ajaokuta was designed with capacity to produce 1.3 million tonnes of liquid steel annually through its integrated facilities including coke ovens, sinter plant, blast furnaces, steel-making shop, and rolling mills. Despite significant investment over decades, the complex has never achieved full commissioning and commercial production, remaining one of Nigeria's major industrial development challenges. Various revival efforts have been undertaken by successive governments. Ajaokuta Steel operates under the Federal Ministry of Steel Development."
517018008,"14. AKANU IBIAM FEDERAL POLYTECHNIC, UNWANA-AFIKPO
**MDA Code:** 517018008","The polytechnic's mandate focuses on providing accessible, quality technical and vocational education at sub-degree level to produce skilled technicians and technologists for industry, commerce, agriculture, and public service. Core functions include offering National Diploma (ND) and Higher National Diploma (HND) programs in engineering technologies including electrical/electronics engineering technology, mechanical engineering technology, civil engineering technology, computer engineering technology, and related fields; science and technology programs including science laboratory technology, computer science, statistics, and applied sciences; business and management programs including accountancy, business administration, banking and finance, marketing, and public administration; environmental programs including estate management, surveying and geoinformatics, building technology, and urban and regional planning; agricultural programs and other technical disciplines.

Additional functions include providing practical, hands-on technical training through workshops, laboratories, and industrial attachments preparing students for employment in technical sectors; conducting applied research addressing local and national technological challenges; offering continuing education and professional development programs for working professionals; collaborating with industries for student industrial training and graduate employment; maintaining workshops, laboratories, and training facilities with modern equipment; and contributing to technical capacity development in Ebonyi State and southeastern Nigeria.

The polytechnic operates under the Federal Ministry of Education through supervision by the National Board for Technical Education, which sets academic standards and accredits programs for Nigerian polytechnics."
517021032,"15. ALEX EKWUEME FEDERAL UNIVERSITY NDUFU ALIKE IKWO (AE-FUNAI)
**MDA Code:** 517021032","The university's mandate centers on providing comprehensive undergraduate and postgraduate education, conducting research, and fostering innovation across sciences, social sciences, management sciences, health sciences, engineering, agriculture, and humanities. Core functions include offering accredited undergraduate degree programs across multiple faculties including sciences, social sciences and humanities, management sciences, health sciences, agricultural sciences, engineering, law, and education; providing postgraduate programs (M.Sc., M.A., M.Ed., Ph.D.) in various disciplines to advance knowledge and research capacity; conducting research addressing local, national, and global challenges in areas including agriculture, health, technology, environmental management, and social development; promoting innovation and entrepreneurship among students and faculty through research commercialization and technology transfer; providing community service and extension programs contributing to local development and knowledge dissemination; maintaining laboratories, libraries, ICT facilities, and research centers supporting academic programs; fostering collaboration with industries, research institutions, and international universities for knowledge exchange and capacity building; training skilled graduates for employment in public service, private sector, and entrepreneurship ventures; and contributing to Ebonyi State's human capital development and socio-economic advancement.

The university operates multiple faculties and departments with growing student enrollment and expanding academic programs. It maintains commitment to academic excellence, character development, and practical skills acquisition. AE-FUNAI operates under the Federal Ministry of Education and the National Universities Commission, supervising academic standards and program accreditation."
517021056,"16. ALVAN IKOKU UNIVERSITY OF EDUCATION, OWERRI, IMO STATE (AIFCE)
**MDA Code:** 517021056","The university's mandate centers on producing highly qualified teachers for Nigeria's education system, conducting educational research, and providing professional development for serving teachers. Core functions include offering undergraduate teacher education programs leading to Nigeria Certificate in Education (NCE) and Bachelor of Education (B.Ed.) degrees across various subject areas including sciences, mathematics, languages, social sciences, vocational and technical education, early childhood education, and special education; providing postgraduate programs (M.Ed., Ph.D.) in education and related disciplines for advanced teacher training and educational research; conducting research in curriculum development, pedagogical methods, educational technology, teacher professional development, and educational policy to improve teaching and learning outcomes; offering pre-service teacher training preparing student teachers for classroom instruction through teaching practice, micro-teaching, and supervised field experiences; providing in-service training, workshops, and professional development programs for serving teachers to enhance teaching competencies; operating demonstration schools or partnering with schools for teaching practice and pedagogical experimentation; maintaining education resource centers, libraries, laboratories, and ICT facilities supporting teacher education; collaborating with the Teachers Registration Council of Nigeria (TRCN) for professional certification and licensing of teachers; conducting community outreach programs promoting literacy, adult education, and lifelong learning; and contributing to educational policy development through research and advisory services.

The university serves Imo State and southeastern Nigeria's teacher education needs while maintaining national relevance. It operates under the Federal Ministry of Education with academic oversight from the National Universities Commission."
521026013,"17. AMINU KANO UNIVERSITY TEACHING HOSPITAL (AKTH)
**MDA Code:** 521026013","The hospital's tripartite mandate encompasses clinical service delivery, medical education and training, and medical research. Core functions include providing comprehensive tertiary healthcare services across multiple medical and surgical specialties including internal medicine, surgery, pediatrics, obstetrics and gynecology, psychiatry, ophthalmology, ENT (ear, nose, throat), orthopedics, oncology, cardiology, nephrology, and other specialized disciplines; serving as a referral center accepting complex cases from secondary healthcare facilities across Kano State and neighboring states in northwestern Nigeria; conducting clinical training for Bayero University medical students providing practical medical education, clinical rotations, and bedside teaching; offering residency training programs for postgraduate medical students pursuing specialist qualifications in various medical disciplines; providing internship programs for newly qualified doctors to gain supervised clinical experience; training nurses, pharmacists, physiotherapists, radiographers, laboratory scientists, and other healthcare professionals; conducting medical research including clinical trials, epidemiological studies, health systems research, and translational research aimed at improving healthcare delivery and outcomes; participating in research collaborations with national and international institutions; and providing specialist outpatient and inpatient services to the population.

AKTH operates specialized clinics, diagnostic facilities, surgical theaters, intensive care units, and modern medical equipment supporting clinical services and medical education. The hospital plays a crucial role in addressing healthcare needs in northwestern Nigeria while training medical professionals. AKTH operates under the Federal Ministry of Health and Social Welfare."
